,white,black,white_elo,black_elo,result,nmoves,nstarting_move,pgn_base,temperature,random_engine,has_illegal,illegal_move,folder_name,chess960,moves
0,Stockfish,gpt-3.5-turbo-instruct,1954,?,1-0,11,1,"[Event ""World Fischer Random 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[Variant ""Chess960""]
[SetUp ""1""]
[FEN ""bqnbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBNRKR w KQkq - 1 0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
1.",0.0,False,False,,/app/games_replication/gameda999577-87d9-49b7-aede-cb2b8c6e7721,True,1. h4 g6 2. h5 gxh5 3. b3 Nf6 4. Rh3 d5 5. Bxf6 exf6 6. Rg3#
1,Stockfish,gpt-3.5-turbo-instruct,1954,?,*,85,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]",0.0,False,True,1-0,/app/games_replication/game341afeb0-1a45-4134-8853-f6e583c1ef5e,False,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. h3 Nf6 6. d3 Bd6 7. Be3 O-O 8. b3 Re8 9. O-O c5 10. Nc3 b5 11. Nh2 Bb7 12. Ne2 c4 13. Nf3 cxd3 14. cxd3 c5 15. a4 c4 16. dxc4 bxc4 17. bxc4 Nxe4 18. Ng3 Nxg3 19. fxg3 Qc7 20. Ng5 f6 21. c5 Bxc5 22. Qb3+ Kh8 23. Nf7+ Kg8 24. Nxe5+ Kh8 25. Nf7+ Kg8 26. Ne5+ Kh8 27. Nf7+ Kg8 28. Ne5+ Kh8 29. Nf7+ Kg8 30. Ne5+ Kh8 31. Nf7+ Kg8 32. Nd6+ Kh8 33. Nxe8 Rxe8 34. Bxc5 Qxc5+ 35. Rf2 Qc6 36. Rd1 h6 37. Rfd2 Qc5+ 38. Kh2 Qc6 39. Qb2 Re5 40. Rd6 Qe4 41. R1d4 Qe2 42. Rd8+ Kh7 43. Qxb7
2,Stockfish,gpt-3.5-turbo-instruct,1954,?,1/2-1/2,82,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]",0.0,False,False,,/app/games_replication/gameb7d76ffe-ed5a-4b68-a472-3848d6997098,False,1. Nf3 Nf6 2. c4 e6 3. d4 d5 4. Nc3 Be7 5. Bg5 h6 6. Bf4 O-O 7. e3 c5 8. Bd3 dxc4 9. Be2 cxd4 10. Qxd4 Qxd4 11. Nxd4 Nd5 12. Bxc4 Nxf4 13. exf4 Rd8 14. Rd1 Bf6 15. Ndb5 Rxd1+ 16. Kxd1 Nc6 17. Ke2 a6 18. Nc7 Rb8 19. Bd3 Bd8 20. Ne8 Be7 21. f5 Bd7 22. Nc7 Rc8 23. Nxa6 bxa6 24. Rd1 Nb4 25. Bxa6 Rc7 26. Bc4 exf5 27. a3 Rxc4 28. Rxd7 Nc6 29. a4 Bf6 30. Rd6 Bxc3 31. g4 Bxb2 32. Rd5 fxg4 33. h3 gxh3 34. a5 h2 35. Rh5 Be5 36. Rxh2 Bxh2 37. Kf1 Nxa5 38. f4 Rc2 39. Ke1 Bxf4 40. Kf1 Nc4 41. Ke1 Ne3
3,Stockfish,gpt-3.5-turbo-instruct,1954,?,*,121,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]",0.0,False,True,1-0,/app/games_replication/game46b90389-512f-4e60-8167-9f0cc10b3d6c,False,1. Nf3 Nf6 2. d4 d5 3. Bf4 c5 4. dxc5 Nc6 5. a3 Ne4 6. e3 f6 7. Nbd2 e5 8. Nd4 exd4 9. exd4 Nxd2 10. Qxd2 Be7 11. h3 O-O 12. h4 Re8 13. O-O-O Bf5 14. h5 Qd7 15. Re1 Bf8 16. Re3 Rxe3 17. fxe3 Re8 18. Bb5 a6 19. Ba4 Be4 20. Qf2 Qg4 21. Rh2 h6 22. b4 Qe6 23. Qg3 Kh7 24. Rh4 Qf7 25. Rh1 Qe6 26. Bb3 Qf7 27. Qh3 Qe6 28. Qxe6 Rxe6 29. Rd1 Re8 30. Ba4 Rd8 31. Rg1 Be7 32. Bb3 Rd7 33. c3 Bd8 34. Kd2 Bc7 35. Bxc7 Rxc7 36. g4 Re7 37. Rc1 Rd7 38. Rf1 Re7 39. Ba2 Rd7 40. Rf4 Re7 41. a4 Rd7 42. b5 axb5 43. axb5 Na5 44. c4 Re7 45. cxd5 Bxd5 46. Bxd5 Rd7 47. Be4+ Kg8 48. Bd3 Kf8 49. Rf3 Ke7 50. Kc3 Rd8 51. Rf2 Ra8 52. Bf5 Kd8 53. Re2 Kc7 54. Be4 Re8 55. Bg6 Ra8 56. Be4 Re8 57. Bd5 Rd8 58. b6+ Kb8 59. Bg2 Re8 60. d5 Kc8 61. Kb4
4,Stockfish,gpt-3.5-turbo-instruct,1954,?,0-1,138,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]",0.0,False,False,,/app/games_replication/game7cf5411f-e338-4b3d-9987-2c5deaf0e704,False,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d4 exd4 5. e5 d5 6. Bb5 Ne4 7. c3 dxc3 8. Bxc6+ bxc6 9. bxc3 Bc5 10. Be3 Bxe3 11. fxe3 Ba6 12. c4 Bxc4 13. Nbd2 Nxd2 14. Nxd2 Qh4+ 15. g3 Qg5 16. Nxc4 dxc4 17. Qf3 O-O 18. Qf4 Qe7 19. O-O Rae8 20. Rac1 Qxe5 21. Rxc4 Qxe3+ 22. Qxe3 Rxe3 23. Rd4 Re2 24. a3 Ra2 25. Ra4 Ra8 26. Ra6 c5 27. Rf2 Ra1+ 28. Kg2 c4 29. Rc2 c3 30. Kf3 g6 31. h4 Kg7 32. Rxc3 Rf1+ 33. Kg2 Rf6 34. Rcc6 Rxc6 35. Rxc6 Rc8 36. Kf2 Kf8 37. Ra6 Ra8 38. a4 Ke7 39. g4 Kd7 40. Ke3 c6 41. Kd4 Kc7 42. Kc5 Kb7 43. Rxc6 Rc8 44. Rxc8 Kxc8 45. g5 Kc7 46. Kb5 Kb7 47. Kc5 Kc7 48. Kd5 Kb6 49. Ke5 Ka5 50. Kf6 Kxa4 51. Kxf7 Kb5 52. Kg7 a5 53. Kxh7 a4 54. Kxg6 a3 55. h5 a2 56. h6 a1=Q 57. Kh7 Qa7+ 58. Kg6 Qb6+ 59. Kh5 Qe6 60. Kh4 Qg6 61. Kh3 Qxg5 62. h7 Qh6+ 63. Kg3 Qxh7 64. Kf2 Qe4 65. Kf1 Qc2 66. Ke1 Kc4 67. Kf1 Kd3 68. Kg1 Ke3 69. Kf1 Qf2#
5,Stockfish,gpt-3.5-turbo-instruct,1954,?,*,2,1,"[Event ""World Fischer Random 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[Variant ""Chess960""]
[SetUp ""1""]
[FEN ""qrnnbkrb/pppppppp/8/8/8/8/PPPPPPPP/QRNNBKRB w GBgb - 0 1""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
1.",0.0,False,True,Kxd8,/app/games_replication/game9053f2f9-df74-40ad-adaa-6fe89e3f2faf,True,1. g3 g6
6,Stockfish,gpt-3.5-turbo-instruct,1954,?,*,3,1,"[Event ""World Fischer Random 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[Variant ""Chess960""]
[SetUp ""1""]
[FEN ""qrnnbkrb/pppppppp/8/8/8/8/PPPPPPPP/QRNNBKRB w GBgb - 0 1""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
1.",0.0,False,True,Nf6,/app/games_replication/game4010eb99-d1eb-4b3a-b3bf-87c45220af98,True,1. g3 g6 2. a4
7,Stockfish,gpt-3.5-turbo-instruct,1954,?,*,0,1,"[Event ""World Fischer Random 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[Variant ""Chess960""]
[SetUp ""1""]
[FEN ""qrnnbkrb/pppppppp/8/8/8/8/PPPPPPPP/QRNNBKRB w GBgb - 0 1""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
1.",0.0,False,True,-O,/app/games_replication/gamee5b45b6c-f094-4b74-99ec-17f2dc48ba12,True,
8,Stockfish,gpt-3.5-turbo-instruct,1954,?,*,7,1,"[Event ""World Fischer Random 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[Variant ""Chess960""]
[SetUp ""1""]
[FEN ""bqnbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBNRKR w KQkq - 1 0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
1.",0.0,False,True,Bg7,/app/games_replication/game7da63b4e-8b4a-46ca-b20f-ffc20a9a93ac,True,1. h4 g6 2. h5 gxh5 3. b4 Nf6 4. c4
9,Stockfish,gpt-3.5-turbo-instruct,1954,?,*,9,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Chess960""]
[SetUp ""1""]
[FEN ""bqnbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBNRKR w KQkq - 1 0""]",0.0,False,True,Nf6,/app/games_replication/game90832e60-aeb0-4558-b1e7-9eaa3aa8bebe,True,1. c4 c6 2. Ncd3 d5 3. c5 Nc7 4. h4 h5 5. Ne5
